# wavelength [micron], EQE [1]
2.213426853707415098e+00,1.901601586363840627e-17
2.217835671342685444e+00,-1.901286639557376127e-17
2.222244488977956234e+00,-5.067865528164570266e-17
2.226653306613226579e+00,6.333151564881503847e-18
2.231062124248497369e+00,-2.532020595658784005e-17
2.235470941883767715e+00,2.531304055445991577e-17
2.239879759519038060e+00,1.265293184797302945e-17
2.244288577154308850e+00,1.897133950783572003e-17
2.248697394789579196e+00,6.321643214824799709e-18
2.253106212424849986e+00,9.479242672833636956e-18
2.257515030060120331e+00,3.158659433411512864e-17
2.261923847695391121e+00,4.420537814174663710e-17
2.266332665330661467e+00,1.578216581815536512e-17
2.270741482965932256e+00,1.893244324067806184e-17
2.275150300601202602e+00,-1.892624498419193452e-17
2.279559118236472948e+00,-1.261295132869009108e-17
2.283967935871743737e+00,3.152104986216317211e-18
2.288376753507014083e+00,1.260420657142912111e-17
2.292785571142284873e+00,9.449913712957919067e-18
2.297194388777555218e+00,-0.000000000000000000e+00
2.301603206412825564e+00,-2.832961752145967650e-17
2.306012024048096354e+00,1.041603157954347358e-31
2.310420841683366699e+00,1.886796718687594766e-17
2.314829659318637489e+00,3.143088021088094283e-18
2.319238476953907835e+00,-9.424832004606743432e-18
2.323647294589178625e+00,-3.768172210342580030e-17
2.328056112224448970e+00,3.138617089409181632e-18
2.332464929859719316e+00,-9.411202379093357483e-18
2.336873747494990106e+00,-6.271126024429899139e-18
2.341282565130260451e+00,-2.507294056839406902e-17
2.345691382765531241e+00,1.253064949945365825e-17
2.350100200400801587e+00,3.131131621064087530e-18
2.354509018036072376e+00,9.388816933345830918e-18
2.358917835671342722e+00,3.128165129629851156e-18
2.363326653306613512e+00,-0.000000000000000000e+00
2.367735470941883857e+00,3.125262489948313597e-18
2.372144288577154203e+00,-2.499003723596707144e-17
2.376553106212424993e+00,2.497826842559584407e-17
2.380961923847695338e+00,-3.745051119401901961e-17
2.385370741482966128e+00,3.083625718859290125e-31
2.389779559118236474e+00,-1.247190926932080861e-17
2.394188376753507264e+00,3.116494350946133966e-18
2.398597194388777609e+00,9.345270760237008583e-18
2.403006012024048399e+00,-6.226799302354880052e-18
2.407414829659318745e+00,1.244609106167939958e-17
2.411823647294589090e+00,-1.243845050912278733e-17
2.416232464929859880e+00,-2.175414482679343645e-17
2.420641282565130226e+00,1.552964444526869328e-17
2.425050100200401015e+00,1.862477218794836735e-17
2.429458917835671361e+00,-2.481797888023620147e-17
2.433867735470942151e+00,-3.100373202474612200e-18
2.438276553106212496e+00,-1.859137828728848562e-17
2.442685370741483286e+00,-3.406456829592040550e-17
2.447094188376753632e+00,-6.189917697036729982e-18
2.451503006012023977e+00,8.958629903457670260e-29
2.455911823647294767e+00,2.782142418351601839e-17
2.460320641282565113e+00,6.179038036121919233e-18
2.464729458917835903e+00,7.197088498238325923e-28
2.469138276553106248e+00,2.468761808124564587e-17
2.473547094188377038e+00,-6.168251582043887182e-18
2.477955911823647384e+00,-3.082361416802710850e-18
2.482364729458917729e+00,-9.241903367385242583e-18
2.486773547094188519e+00,-1.847331173961142930e-17
2.491182364729458865e+00,-2.153989165729395644e-17
2.495591182364729654e+00,-6.150897512171738404e-18
2.500000000000000000e+00,3.073702175065425960e-18
